"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"24C01D/02D_8PIN","","","24C0xD","","*","U?","EEPROM with I2C BUS"
"901x_NPN","SOT-23","","901x_NPN","","*","Q?","BJT"
"901x_PNP","SOT-23","","901x_PNP","","*","Q?",""
"AD623","SO-8","","AD623","","*","U?","Instrument Amplifier"
"AD8307","SO8","","AD8307","","*","U?","LOG Amplifier 90dB DC to 900MHz"
"AD9854","TQFP80_with_Pad","","AD9854","","*","U?","DDS_300M"
"ADS828","SSOP-28","","ADS828","","*","U?","High speed ADC with 10 bitwidth & differential port, 75MSPS max"
"ADT4-1WT","","","ADT4-1WT","","*","U?","IP Transformer"
"AMS1117_3.3V","","","AMS1117_3.3","","*","U?","POWER_3.3V"
"CR2302 Power Cell","","","CR2302","","*","P?","CR2302 Power Cell"
"Diode_VD","","","Diode","","*","D?","RF"
"Dpy-LED-8-2","LED_SEG_8_2","","Dpy-LED-8-2","","*","D?","Led Segment"
"Dpy-LED-8-4","LED_SEG_8_4","","Dpy_LED_8_4","","*","D?","Led Segment"
"Dual UNIVERSAL OP","SO8","DIP8","Dual UNIVERSAL OP","","*","U?","Dual Universal OP-Amplifier"
"HC1621B_SSOP_48","SSOP-48","","HT1621B","","*","U?","LCD Driver"
"HT16C21_SOP28","SOP28","","HT16C21_SOP28","","*","U?","SEG LCD Driver"
"INA133","SO-8","","INA133","","*","U?","Differential Amplifier"
"LCD12864_COG_32P_SCREEN","","","LCD12864_COG_32P","","*","U?","LCD12864 COG 32PIN SCREEN"
"LCD_COM4_SEG6_NUM3","","","LCD_COM4_SEG6_NUM3","","*","U?","Segment LCD with 3 number and a symbol"
"LCD_COM4_SEG8_NUM4","","","LCD_COM4_SEG8_NUM4","","*","U?","Segment LCD with 4 Number and 1 Symbol of dots"
"LCD_COM4_SEG9_NUM4","","","LCD_COM4_SEG9_NUM4","","*","U?","SEG LCD with 4 NUM and 1symbol"
"LM78xx","","","LM78xx","","*","U?","Power_device"
"LMH6518","RGV16_N","","LMH6518","","*","U?","VGA_900MHz"
"MB1504","","","MB1504","","*","U?",""
"MFRC522","RHB32_L","","MFRC522","","*","U?","RFID_IC"
"MSP430F21x2_PW","","","MSP430F21x2","","*","U?","msp430f21x2 with 28 pins"
"MSP430G2x01_PW","TSSOP14","","MSP430G2x01","","*","U?","MSP430G2x01 with 14 Pins"
"OSC_CLK","","","OSC","","*","Y?","OSC"
"PWR2.5","Power_Jack_3_Lead","","PWR2.5","","*","J?","Power"
"Res_Pack_4","","","Res_Pack","1K","*","R?","resistor"
"SI230x_NMOS","SOT-23","","SI230x_NMOS","","*","U?","Power_NMOS"
"SI230x_PMOS","SOT-23","","SI230x_PMOS","","*","U?","Power_PMOS"
"STM32F030K6","TQFP32","","STM32F030K6","","*","U?","STM32F030K6"
"STM8S103F3P6","TSSOP20","","STM8S103F3P6","","*","U?","STM8S MCU"
"SW-PB","SW_PB_4","","SW-PB-4","","*","S?","SW-PB-4"
"TC1-1T","TC1-1T","","TC1-1T","","*","U?","TC1-1T serial 50 ohme"
"THS3201_PIN5","DBV005","","THS3201","","*","U?","THS3201 with 8 pins, High Speed AMP, CFB"
"THS3201_PIN8","","","THS3201","","*","U?","THS3201 with 8 pins, High Speed AMP, CFB"
"THS4503","SO8","","THS4503","","*","U?","Differential Amp"
"TLV431_3pin","","","TLV431","","*","U?",""
"TMP112","","","TMP112","","*","U?","TMP112 is a low power temperature chip with 0.5 resolution"
"TPS5430/31","","","TPS543x","","*","U?","POWER BULK TPS5430/31"
"TPS6122x","","","TPS6122x","","*","U?","Boost DC-DC"
"TPS63700","","","*","","*","*",""
"UNIVERSAL OP","","","OP Amplifier","","*","U?","Universal OP with 8 Pins"
